GWY_ADJ;Gwyneddian;Gwyneddian;Gwyneddian;;;;;;;;;;;x;
GWY;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_proletarian_dictatorship;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_presidential_dictatorship;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_bourgeois_dictatorship;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_fascist_dictatorship;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_absolute_monarchy;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_prussian_constitutionalism;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_hms_government;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_democracy;Gwynedd;Gwynedd;Gwynedd;;;;;;;;;;;x;
GWY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GWY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GWY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GWY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GWY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GWY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GWY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GWY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GWY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
