SMY_ADJ;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_proletarian_dictatorship;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_presidential_dictatorship;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_bourgeois_dictatorship;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_fascist_dictatorship;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_absolute_monarchy;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_prussian_constitutionalism;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_hms_government;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_democracy;Smyrna;Smyrna;Smyrna;;;;;;;;;;;x;
SMY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SMY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SMY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SMY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SMY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SMY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SMY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SMY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SMY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
